PC1	PC2	PC3	PC4	PC5
S1	-10.2547426487127	7.38063712789499	-4.65134833227556	0.934112375790821	-0.842663900061964
S2	-17.5265398586064	-6.97208632815316	-2.81304488540191	-2.65727253274012	0.461370272501533
S3	-8.81672346308939	5.95700053986711	4.89671421672791	-0.0561576797257142	-7.76419158341447
S4	0.515892498988129	-3.98561994170502	-4.95017346889953	-7.30411894527809	-6.75234685250758
S5	4.04306847879513	4.1013865520193	-5.61318970687534	-1.31522682749094	-3.55557734110241
S6	7.80867964531685	0.672044091369625	-14.9764091539524	-4.50338730205364	-1.01092389949612
S7	-4.57054530178194	0.478212273641851	2.13289481959203	0.359579402454169	-8.97616977554496
S8	-11.486689227447	-11.9312423206833	3.29562620303672	10.5457786338151	0.686146251099289
S10	4.39075929256845	3.06310781872451	-3.78664336656982	6.87973738038145	7.81770945199632
S11	-0.396458437152685	9.77524545397149	1.81924145953001	-3.25169090626258	-0.1499141481489
S12	-5.33594548236779	9.710471514538	-2.23204073310898	5.95381186420848	4.39434521876487
S13	5.75357209247411	-1.623098812474	-5.27799724559758	3.94572175098287	-4.33979026667722
S14	-15.11773180726	-3.39058034992203	0.804580968819873	-4.6748777917824	0.191934014571834
S15	3.72629957730092	-5.56106628444351	3.72694757379564	-3.77743433855281	6.8827733514278
S16	-14.7533347218001	-4.71659915509307	5.72702691395706	-1.15413927842373	4.18226284553105
S17	-11.4105989146741	1.84556102267708	8.34578705989726	-5.89001967748719	-5.03125299311737
S18	-12.8299224033747	-4.41224935363805	-4.19527934096048	-5.42582263931405	-2.04741621269657
S19	10.3757444671727	2.19448260788434	-2.05064249647789	-5.62096184753249	-2.8359340860717
S21	-0.132523955037593	-10.1756890809842	1.52152622541901	2.29064870901682	5.00847152020878
S22	6.80718571864063	0.892715234215443	9.4633859511981	2.64530590870429	6.81722897261864
S23	8.92390178633682	-6.63965875394667	-4.92471635560809	-4.18173571201988	3.48435167962565
S24	9.03643493658962	-3.98848061704028	-7.33137361034651	0.946312677284801	-2.07837544609975
S25	8.35184645595194	-1.40405243073338	6.26109351037576	6.08269840143901	-1.43952316871003
S26	7.4727311502579	-9.5072611826708	7.90807954643531	-0.703062133391254	-3.30820124696025
S27	-15.2727340188493	2.82426992579615	-3.03144350186321	-4.98294783326438	7.5130686276462
S29	4.48438585610236	-1.05762504406874	-5.98874024070671	-3.07919292536365	7.49949948991749
S30	-4.12635723906356	1.67112089735349	5.10015120742659	2.68398316614429	11.0590874011261
S31	4.18181776479408	2.05338833415424	3.99617283271391	-4.1077570725211	2.61967192059977
S32	9.26922095040315	-1.82733085744765	4.63413261742207	-2.02570391929695	1.72598569872549
S33	6.65086060352657	-4.32567011076504	6.68672901586606	3.54095770114632	-5.78412873852462
S34	3.54405228411848	5.11468810294015	2.51080945612075	-10.4184483355569	3.95606640067272
S35	9.31638212478969	1.48624468038751	-0.875319961952551	2.93469874959957	-10.639331598049
S36	6.12836177957625	-0.391135058580175	1.71006520651751	-2.27958198608781	8.30804502372391
S37	1.58588696245809	10.6476043418347	-0.39535666911294	9.48543293703611	3.10791383052637
S38	-8.28172964760106	7.55060805100122	2.89401400462825	-10.4293385514982	-1.90175153586202
S39	5.79370264734127	0.803415885185284	5.66602059791788	-4.36608249014995	2.34234459527331
S40	7.82005526130313	0.853077289454004	-7.3596022963519	0.911012526910014	3.41644690860793
S41	8.97315575862876	-0.536773761041053	6.56191613735041	4.94071061634565	-9.34088509207629
S42	-7.19398044677641	-1.99182547472435	-3.82985434102472	7.92418757986508	2.1598978221882
S43	7.38678184617384	-5.69262911964796	1.82679856546231	-9.23957149259668	-4.07200959823386
S44	7.32405122108843	3.37662481631735	-6.42217938086697	0.818534847624209	1.62265325136571
S45	-10.6878817456045	-4.7197402105215	-8.28569203001321	1.77791245091421	-7.53313337489254
S46	-1.98063805507421	-1.2454518680549	1.53768469761625	9.63551084456768	-1.7325666684807
S47	-7.29042041717396	12.0587696537181	3.94056477061212	4.47863911564946	-5.74425414496573
S48	8.73115954862871	2.52003294461281	4.51920027837484	0.466251268216031	4.0460489938432
S49	-5.96019147319189	-3.39377914101984	-7.36864906869434	8.46768354811599	1.72035942238054
S50	5.02969855531342	2.45893609779991	-1.12746765015292	2.79530976217812	-4.14334129324858
