pheno_index,geno_index,P_Value
1,64,6.10E-07
4,832,1.49E-07
5,895,0.000236505
6,895,0.000155189
7,691,0.002927709
8,755,3.40E-05
9,452,0.020068682
10,793,9.52E-08
11,838,7.83E-14
12,838,5.58E-15
13,977,0.012175597
14,758,8.16E-08
15,758,4.14E-09
16,772,2.00E-07
17,772,1.52E-08
18,772,6.47E-05
19,144,0.000510159
20,193,4.90E-05
21,117,0.000126882
22,780,2.69E-05
23,780,3.52E-07
24,780,1.21E-09
25,677,5.87E-07
26,677,3.12E-07
26,756,0.046104278
27,239,3.18E-08
28,915,1.10E-07
29,89,9.75E-07
30,89,1.18E-06
31,381,7.01E-13
32,381,3.29E-13
33,398,0.004830563
34,353,6.02E-10
35,493,5.91E-08
36,447,3.56E-05
37,665,6.01E-11
38,665,7.84E-14
39,683,1.77E-08
40,683,1.32E-08
41,177,9.88E-09
42,633,0.000281644
43,352,1.76E-05
44,627,0.022467162
45,951,1.79E-10
46,508,0.045701009
47,592,4.03E-05
48,185,3.12E-06
49,682,1.03E-05
50,682,1.36E-05
51,125,8.95E-07
52,936,2.70E-09
53,936,7.87E-09
54,417,0.000469263
55,893,0.000364963
56,893,0.000166847
57,254,0.036639185
57,845,0.049340997
57,893,2.53E-05
58,78,0.036242465
58,278,0.048021728
58,300,0.047640398
58,562,0.047141255
58,778,0.041859986
58,797,0.012118168
58,968,0.029910242
59,351,9.49E-07
60,351,5.88E-06
61,865,8.05E-08
62,822,2.38E-09
63,312,1.07E-09
64,30,5.60E-07
65,848,1.48E-08
66,848,2.59E-09
67,600,7.65E-08
68,600,1.11E-06
69,405,6.21E-08
70,904,0.000151254
71,721,5.80E-11
72,416,0.010842712
73,416,0.016355025
74,416,0.000672468
75,607,4.39E-08
76,194,2.41E-05
77,956,3.60E-11
78,956,7.93E-10
80,841,0.016680136
