pheno_index,geno_index,P_Value
chr3:clu_333_-:129171634,30,5.60E-07
chr1:clu_1_+:23692609,64,6.10E-07
chr20:clu_290_-:35740989,78,0.036242465
chr15:clu_169_-:40037309,89,9.75E-07
chr15:clu_169_-:40037348,89,1.18E-06
chr13:clu_138_+:41464180,117,0.000126882
chr2:clu_256_+:218217372,125,8.95E-07
chr12:clu_120_-:14947949 ,144,0.000510159
chr19:clu_211_+:35159516,177,9.88E-09
chr2:clu_246_+:3575557,185,3.12E-06
chr12:clu_135_+:56116829,193,4.90E-05
chr6:clu_423_-:31581814,194,2.41E-05
chr14:clu_159_-:68790983,239,3.18E-08
chr20:clu_288_-:35735081,254,0.036639185
chr20:clu_290_-:35740989,278,0.048021728
chr20:clu_290_-:35740989,300,0.047640398
chr3:clu_325_-:51995663,312,1.07E-09
chr20:clu_292_+:44903036,351,9.49E-07
chr20:clu_292_+:44903121,351,5.88E-06
chr19:clu_218_+:38620435,352,1.76E-05
chr17:clu_183_+:39201213,353,6.02E-10
chr15:clu_175_+:69453647,381,7.01E-13
chr15:clu_175_+:69453721,381,3.29E-13
chr16:clu_177_-:88810148,398,0.004830563
chr5:clu_361_+:73498799,405,6.21E-08
chr6:clu_406_+:36598429 ,416,0.010842712
chr6:clu_406_+:36598526,416,0.016355025
chr6:clu_407_+:36599821 ,416,0.000672468
chr2:clu_273_-:157438883,417,0.000469263
chr17:clu_196_-:40560679,447,3.56E-05
chr1:clu_55_+:207340391,452,0.020068682
chr17:clu_191_+:42998471,493,5.91E-08
chr19:clu_241_-:45688566,508,0.045701009
chr20:clu_290_-:35740989,562,0.047141255
chr19:clu_242_-:48615877,592,4.03E-05
chr5:clu_359_+:35856032,600,7.65E-08
chr5:clu_359_+:35857059,600,1.11E-06
chr6:clu_420_+:89081434,607,4.39E-08
chr19:clu_232_+:53532548,627,0.022467162
chr19:clu_215_+:35648893,633,0.000281644
chr19:clu_201_+:1438807 ,665,6.01E-11
chr19:clu_202_+:1439968,665,7.84E-14
chr14:clu_157_-:21263311,677,5.87E-07
chr14:clu_157_-:21263829,677,3.12E-07
chr2:clu_253_+:30256702,682,1.03E-05
chr2:clu_253_+:30256803,682,1.36E-05
chr19:clu_207_+:16325216,683,1.77E-08
chr19:clu_207_+:16326032,683,1.32E-08
chr1:clu_31_+:46309143,691,0.002927709
chr6:clu_400_+:33272587,721,5.80E-11
chr1:clu_40_+:171517586,755,3.40E-05
chr14:clu_157_-:21263829,756,0.046104278
chr11:clu_78_-:64766155,758,8.16E-08
chr11:clu_89_-:64777987,758,4.14E-09
chr11:clu_91_-:118339775,772,2.00E-07
chr11:clu_91_-:118339906,772,1.52E-08
chr11:clu_92_-:118340870,772,6.47E-05
chr20:clu_290_-:35740989,778,0.041859986
chr13:clu_141_+:48233477,780,2.69E-05
chr13:clu_142_+:48256177,780,3.52E-07
chr13:clu_142_+:48258236,780,1.21E-09
chr1:clu_69_-:159923436,793,9.52E-08
chr20:clu_290_-:35740989,797,0.012118168
chr22:clu_315_+:42079954 ,822,2.38E-09
chr1:clu_19_+:26473460,832,1.49E-07
chr10:clu_73_+:78040201,838,7.83E-14
chr10:clu_73_+:78040225,838,5.58E-15
chrX:clu_466_+:24060182,841,0.016680136
chr20:clu_288_-:35735081,845,0.049340997
chr4:clu_342_-:77055150,848,1.48E-08
chr4:clu_342_-:77055380,848,2.59E-09
chr22:clu_306_-:37244114,865,8.05E-08
chr20:clu_279_-:35709274,893,0.000364963
chr20:clu_288_-:35734186 ,893,0.000166847
chr20:clu_288_-:35735081,893,2.53E-05
chr1:clu_26_+:42696199,895,0.000236505
chr1:clu_26_+:42696288,895,0.000155189
chr5:clu_386_-:150449492,904,0.000151254
chr14:clu_161_+:69767380,915,1.10E-07
chr2:clu_260_-:38746144,936,2.70E-09
chr2:clu_260_-:38746179,936,7.87E-09
chr19:clu_236_-:39433494,951,1.79E-10
chr7:clu_443_-:22818000,956,3.60E-11
chr7:clu_443_-:22818048,956,7.93E-10
chr20:clu_290_-:35740989,968,0.029910242
chr10:clu_77_-:119536464,977,0.012175597
